id,first_name,last_name,position,affiliation,page_type,url
,Sarah Rose,Taylor,PhD,University of Cambridge,HOME,https://srtaylor.com/
,Zhaocheng,Zhang,PhD,University of Cambridge,HOME,https://zhaocheng-zhang.github.io/
,Yifan,Zhang,PhD,University of Cambridge,HOME,https://sites.google.com/view/yifanzhangecon
,Patrick,Allmis,Post-Doc,University of Cambridge,HOME,https://www.patrickallmis.com/
,Seda,Basihos,Post-Doc,University of Cambridge,HOME,https://www.sedabasihos.com/
,Jerome,Simons,Post-Doc,University of Cambridge,HOME,https://www.jeromesimons.com/
,Afonso,Rodrigues,PhD,University of Oxford,HOME,https://sites.google.com/view/afonso-rodrigues/about?authuser=0
,Chenchuan,Shi,PhD,University of Oxford,HOME,https://sites.google.com/view/chenchuan-shi
,Eszter,Kabos,PhD,University of Oxford,HOME,https://www.ekabos.com/
,Giulio,Gottardo,PhD,University of Oxford,HOME,https://sites.google.com/view/giulio-gottardo/
,Giulio,Schinaia,PhD,University of Oxford,HOME,https://gschinaia.github.io/
,Hannah,Römer,PhD,University of Oxford,HOME,https://www.hannahroemer.com/home
,Jonas Kai,Kurle,PhD,University of Oxford,HOME,https://jonaskurle.com
,Karthik Abhiramapuram,Sridhar,PhD,University of Oxford,HOME,https://www.asknarayan.com
,Lidia,Smitkova,PhD,University of Oxford,HOME,https://lidiasmitkova.com/
,Lukas,Boehnert,PhD,University of Oxford,HOME,https://www.lukasboehnert.com/
,Marco,Garofalo,PhD,University of Oxford,HOME,https://sites.google.com/view/marco-garofalo/home
,Mathias Fjællegaard,Jensen,PhD,University of Oxford,HOME,https://fjaellegaard.com/
,Max,Marczinek,PhD,University of Oxford,HOME,https://sites.google.com/view/maxmarczinek
,Sarah,Duffy,PhD,University of Oxford,HOME,https://sarahwduffy.github.io
,Timothy,Hunt,PhD,University of Oxford,HOME,https://timothywhunt.github.io/
,Tobias,Kawalec,PhD,University of Oxford,HOME,https://tobiaskawalec.com/
,Zhao,Dong,PhD,University of Oxford,HOME,https://zhaodong77777.github.io/
,Rustam,Jamilov,Post-Doc,University of Oxford,HOME,https://www.rustamjamilov.com/
,Shaheen,Naseer,Post-Doc,University of Oxford,HOME,https://www.shaheennaseer.com
