researcher_id,first_name,last_name,db_affiliation,repec_name,repec_workplace,repec_homepage,repec_handle,match_type,confidence
731,Botond,Koszegi,University of Bonn,Botond Koszegi,Central European University,http://www.personal.ceu.hu/staff/Botond_Koszegi/,REPEC:per:2013-05-08:botond_koszegi,exact_name,unique
737,Philippe,Jehiel,Paris School of Economics,Philippe Jehiel,Paris School of Economics,http://www.enpc.fr/ceras/jehiel/,REPEC:per:2005-04-30:philippe_jehiel,exact_name,unique
739,Nicolas,Vincent,HEC Montreal,Nicolas Vincent,HEC Montréal (École des Hautes Études Commerciales),http://neumann.hec.ca/pages/nicolas.vincent/,REPEC:per:1976-08-27:nicolas_vincent,exact_name,unique
741,Johnny,Tang,Harvard University,Johnny Tang,Harvard University,https://scholar.harvard.edu/johnnytang/home,REPEC:per:2019-03-26:johnny_tang,exact_name,unique
745,Lindsey,Raymond,Microsoft Research,Lindsey Rebecca Raymond,Massachusetts Institute of Technology (MIT),http://sites.google.com/view/lindsey-raymond,REPEC:per:2023-02-04:lindsey_rebecca_raymond,exact_name,unique
746,Harry,Pei,Northwestern University,Harry Di Pei,Massachusetts Institute of Technology (MIT),http://economics.mit.edu/grad/harrydp,REPEC:per:2012-05-28:harry_di_pei,exact_name,unique
747,Nancy,Qian,Northwestern University,Nancy Qian,National Bureau of Economic Research (NBER),http://www.kellogg.northwestern.edu/faculty/qian/index.html,REPEC:per:2005-12-17:nancy_qian,exact_name,unique
750,Ran,Spiegler,Tel Aviv University,ran spiegler,Tel Aviv University,http://www.tau.ac.il/~rani,REPEC:per:2008-12-21:ran_spiegler,exact_name,unique
758,Niklas,Buehren,World Bank,Niklas Buehren,World Bank Group,https://sites.google.com/view/nbuehren/home,REPEC:per:1981-02-20:niklas_buehren,exact_name,unique
766,Yanos,Zylberberg,University of Bristol,Yanos Zylberberg,University of Bristol,http://sites.google.com/site/yanoszylberberg/,REPEC:per:2012-08-04:yanos_zylberberg,exact_name,unique
770,Gunnar,Heins,University of Florida,Gunnar Heins,University of Florida,https://sites.google.com/site/gunnarheins/gunnar-heins,REPEC:per:1984-08-24:Gunnar_Heins,exact_name,unique
778,Jung,Sakong,,Jung Sakong,Federal Reserve Bank of Chicago,https://www.jungsakong.com,REPEC:per:1988-01-15:Jung_Sakong,exact_name,unique
784,Alexander,Torgovitsky,,Alexander Torgovitsky,University of Chicago,http://a-torgovitsky.github.io/,REPEC:per:2019-11-01:alexander_torgovitsky,exact_name,unique
786,Anja,Sautmann,,Anja Sautmann,World Bank Group,https://sites.google.com/site/anjasautmann/,REPEC:per:2010-10-11:anja_sautmann,exact_name,unique
791,Carmen,Reinhart,,Carmen Reinhart,Harvard University,http://www.carmenreinhart.com,REPEC:per:1966-02-11:carmen_reinhart,exact_name,unique
792,Christoph,Trebesch,,Christoph Trebesch,Christian-Albrechts-Universität Kiel,https://sites.google.com/site/christophtrebesch/,REPEC:per:2007-12-15:christoph_stephan_trebesch,exact_name,unique
793,Dominic,Rohner,,Dominic Rohner,Université de Lausanne,https://sites.google.com/site/dprohner/,REPEC:per:2005-11-30:dominic_rohner,exact_name,unique
